driver,sector,delta_time_sec,delta_brake_m,delta_throttle_m,delta_min_speed_kph
Alessio Carrino,T1-T2 (Rettifilo),0.4106,1.3459,3.2593,-0.7802
Alessio Carrino,Curva Grande,0.0701,,11.7378,-0.0379
Alessio Carrino,Var. della Roggia,0.4018,5.0913,20.6886,-0.5318
Alessio Carrino,Lesmo 1-2,0.3194,50.0815,33.9337,-0.3126
Alessio Carrino,Serraglio,0.1963,73.1776,,-1.3423
Alessio Carrino,Ascari,0.1620,,55.8442,-1.4371
Alessio Carrino,Parabolica,0.1788,119.1869,52.4987,-0.9694
Andrew Kramer,T1-T2 (Rettifilo),0.5263,-255.9799,-253.7758,-2.2370
Andrew Kramer,Curva Grande,0.0739,,-335.2070,-0.5432
Andrew Kramer,Var. della Roggia,0.0945,-249.8174,-231.3386,-0.5720
Andrew Kramer,Lesmo 1-2,0.1405,-271.5811,17.2083,-1.0676
Andrew Kramer,Serraglio,0.0320,-265.8352,,-0.3685
Andrew Kramer,Ascari,0.2861,,-249.7464,-4.1153
Andrew Kramer,Parabolica,0.2926,-257.3291,-257.0849,-0.3485
Attila Kozo,T1-T2 (Rettifilo),0.1404,16.2509,7.2034,1.3703
Attila Kozo,Curva Grande,0.0609,,4.7500,-0.4060
Attila Kozo,Var. della Roggia,0.1623,28.2694,4.8190,-1.4742
Attila Kozo,Lesmo 1-2,-0.0838,15.1668,320.5569,-0.4207
Attila Kozo,Serraglio,0.0448,41.5591,,1.2144
Attila Kozo,Ascari,-0.0633,,4.8300,-1.1632
Attila Kozo,Parabolica,-0.1514,35.4603,-5.1241,2.7018
Audun Braastad,T1-T2 (Rettifilo),0.1737,16.2483,3.4268,0.5734
Audun Braastad,Curva Grande,0.0463,,4.7651,-0.2756
Audun Braastad,Var. della Roggia,0.3469,28.1434,12.4346,-2.5716
Audun Braastad,Lesmo 1-2,0.1783,27.2616,337.5353,-1.3398
Audun Braastad,Serraglio,0.0484,85.0636,,2.0753
Audun Braastad,Ascari,0.3592,,30.0286,-3.7544
Audun Braastad,Parabolica,0.1491,98.2835,26.2756,0.7503
Cassius Braga,T1-T2 (Rettifilo),0.2362,28.1988,-0.2911,-1.2076
Cassius Braga,Curva Grande,0.1063,,5.3128,-0.5595
Cassius Braga,Var. della Roggia,0.3157,15.2925,8.9713,-0.8171
Cassius Braga,Lesmo 1-2,0.1583,39.3671,344.6615,1.2042
Cassius Braga,Serraglio,0.0761,83.6092,,0.3897
Cassius Braga,Ascari,0.3068,,31.7723,-2.8728
